TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
231020638,11.154,0.034147556,3356,0.548193,1.64004,0.0164004,1.50E+33,0.05753,0.411370768
231020924,14.2218,0.002659157,2880,0.207723,0.705599,0.00705599,3.46E+33,3.63416,0.155273621
231058925,13.1708,0.008325085,3064,0.324724,0.3697,0.003697,7.02E+32,0.21267,0.240035262
231267979,10.676,0.045132564,3418,0.607573,2.022716,0.02022716,1.48E+33,0.0461,0.457579332
231632372,12.6679,0.01190158,3162,0.364566,0.560352,0.00560352,5.78E+32,0.20351,0.275117225
231708319,11.9631,0.013533322,3350,0.346346,1.290809,0.01290809,1.16E+33,0.08793,0.288945153
231828950,13.2583,0.005987926,3047,0.278478,0.610503,0.00610503,4.85E+32,0.08246,0.211666467
231835378,11.3951,0.009279782,3282,0.298806,1.256645,0.01256645,7.41E+32,0.15761,0.250190544
231838187,14.7576,0.002558172,2828,0.211302,0.096089,0.00096089,2.66E+32,0.15107,0.152995978
231850074,12.3857,0.028040105,3333,0.503636,1.4334,0.014334,1.76E+33,0.09381,0.381565683
231910539,12.069,0.014847439,3179,0.402849,0.550399,0.00550399,1.00E+33,0.06127,0.299348376
231910796,12.4103,0.03352625,3427,0.520909,4.987519,0.04987519,6.31E+32,0.02613,0.408497753
232064182,11.8155,0.009303922,3272,0.301026,0.719543,0.00719543,3.23E+32,0.04184,0.250438749
232073492,12.9297,0.00779491,3047,0.31773,0.597511,0.00597511,3.04E+32,0.08144,0.234081764
232083054,12.4799,0.011530862,3151,0.361353,0.62639,0.0062639,4.92E+32,0.08331,0.271814375
234284556,11.8868,0.018266392,3249,0.427784,1.1033,0.011033,1.29E+33,0.05412,0.323987697
234295610,12.5068,0.012779031,3161,0.378005,0.761493,0.00761493,2.55E+33,0.22171,0.282689132
234307350,15.8912,0.001138738,2844,0.139396,1.54275,0.0154275,8.35E+32,6.55026,0.112335618
